"id","firstname","lastname","nik","email","born","date_of_birth","address","city","phone","job","color","created_at","updated_at"
42,Gawati,Yuniar,"5105194308112333",mustofa20@gmail.com,Pekalongan,1974-09-17,"Jr. Laksamana No. 955, Bekasi 20321, Jatim",Kotamobagu,(+62) 326 5613 015,Arsitek,cokelat,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
43,Samiah,Wahyudin,"7211412410206019",ysuryatmi@yahoo.com,Bengkulu,2009-04-01,"Dk. Perintis Kemerdekaan No. 221, Bontang 31235, Babel",Ambon,(+62) 289 8129 5235,Perancang Busana,toska,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
44,Dadap,Pratiwi,"6105313107942753",hutasoit.vanya@yahoo.com,Bau-Bau,1991-02-04,"Jln. Bayam No. 160, Jambi 61377, Kaltim",Palu,(+62) 711 5153 069,Buruh Tani / Perkebunan,mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
45,Elon,Pratama,"5201324408065798",uramadan@gmail.com,Dumai,1997-01-19,"Jln. Bahagia  No. 788, Manado 92669, Bengkulu",Padangpanjang,"0706 6053 3524",Industri,hijau,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
46,Gabriella,Haryanti,"1807430503216879",mhartati@gmail.com,Tidore Kepulauan,1985-03-11,"Jr. W.R. Supratman No. 956, Bengkulu 51930, Malut",Depok,"0856 8490 779",Biarawati,hijau,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
47,Sabar,Prasasta,"1606612401145117",tari.siregar@yahoo.co.id,Tarakan,2012-03-19,"Ds. R.M. Said No. 219, Sorong 86847, Malut",Serang,"0775 8883 3562",Buruh Harian Lepas,teal,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
48,Ismail,Winarno,"7304511103135006",hprasasta@yahoo.com,Kupang,1976-03-04,"Ds. Industri No. 156, Semarang 69287, Malut",Pekanbaru,(+62) 22 6503 261,Tukang Batu,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
49,Genta,Habibi,"9107085408207183",marpaung.ilsa@gmail.com,Pematangsiantar,1994-01-24,"Psr. Setia Budi No. 915, Bitung 11363, Pabar",Yogyakarta,"0826 8236 3814",Buruh Tani / Perkebunan,zaitun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
50,Natalia,Damanik,"3525816410049005",zelaya84@gmail.co.id,Sibolga,2014-05-19,"Jln. Salak No. 242, Kendari 79773, Kaltim",Pangkal Pinang,"0224 6136 8687",Akuntan,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
51,Cahyanto,Kusmawati,"3527426607195196",eli.sirait@yahoo.com,Sibolga,2017-06-28,"Psr. Bayam No. 614, Parepare 12915, Kalbar",Langsa,(+62) 962 6168 126,Penambang,toska,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
52,Qori,Rahimah,"3524250208999265",oni.setiawan@yahoo.com,Kendari,1972-03-21,"Ki. Jend. A. Yani No. 385, Sawahlunto 96643, Riau",Gorontalo,"0890 2142 476",Arsitek,mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
53,Tania,Utami,"7472095007941188",kala92@gmail.com,Depok,2011-10-23,"Ds. Yos Sudarso No. 251, Bau-Bau 61608, Lampung",Kediri,"0314 1965 3843",Masinis,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
54,Karja,Laksita,"1409501711164734",prakosa.mandasari@yahoo.co.id,Kendari,1998-12-08,"Ki. Jaksa No. 642, Tangerang Selatan 32371, Jabar",Probolinggo,"0200 0056 506",Wartawan,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
55,Daru,Puspita,"1572632809162344",sanggraini@yahoo.com,Blitar,1999-02-01,"Jln. Untung Suropati No. 295, Surabaya 11947, Jatim",Jayapura,"0565 1897 6505",Wakil Presiden,merah jambu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
56,Jabal,Puspita,"9203464711059877",cengkir83@gmail.com,Tebing Tinggi,1983-02-06,"Kpg. Salak No. 614, Bogor 30733, Lampung",Administrasi Jakarta Utara,"0938 6755 0822",Atlet,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
57,Umi,Handayani,"8171261410151572",ika.riyanti@gmail.com,Batam,1980-11-01,"Ds. Supono No. 355, Banjarbaru 98097, Kepri",Mojokerto,(+62) 761 5228 324,Penata Rias,mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
58,Lili,Prasetya,"1118071908125423",timbul52@gmail.com,Lubuklinggau,1994-05-01,"Kpg. Halim No. 82, Manado 28024, Malut",Bima,(+62) 560 0822 5593,Penulis,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
59,Zaenab,Saragih,"2172886107226109",qsuryatmi@gmail.com,Pekanbaru,1980-12-16,"Gg. Pahlawan No. 256, Solok 51267, Jambi",Blitar,"020 0014 6038",Pendeta,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
60,Victoria,Wacana,"1601027012055058",bagiya12@gmail.com,Parepare,2008-01-18,"Jln. Bak Air No. 143, Serang 61184, Kaltara",Sawahlunto,(+62) 783 5330 105,Penambang,hitam,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
61,Zalindra,Mahendra,"7324522912949506",mthamrin@yahoo.com,Madiun,2020-06-25,"Kpg. Peta No. 462, Pematangsiantar 62209, Babel",Palopo,(+62) 866 9494 4625,Mekanik,mawar,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
62,Raihan,Salahudin,"9124097008177779",kpurwanti@gmail.co.id,Surakarta,2005-10-28,"Ds. Jamika No. 388, Samarinda 49768, Jatim",Mataram,"0450 7778 5118",Guru,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
63,Malika,Fujiati,"3517650908969545",najwa59@yahoo.com,Prabumulih,1980-08-21,"Jln. Bayan No. 984, Sungai Penuh 55783, Riau",Ambon,"0488 1630 525",Mekanik,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
64,Hilda,Utama,"1671636304122437",slamet.hariyah@gmail.co.id,Binjai,2012-10-15,"Jln. Madiun No. 744, Tasikmalaya 42549, Sumbar",Cirebon,"0734 0125 5851",Tukang Gigi,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
65,Heryanto,Iswahyudi,"3312041807197395",iprastuti@gmail.co.id,Tidore Kepulauan,1979-10-14,"Jr. Baranang No. 806, Sibolga 69502, Kaltim",Administrasi Jakarta Selatan,(+62) 586 8828 809,Pendeta,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
66,Kunthara,Adriansyah,"7503320310056680",kariman.prayoga@gmail.co.id,Tidore Kepulauan,1984-03-16,"Kpg. Raya Setiabudhi No. 639, Dumai 25569, Jateng",Banjarmasin,"0956 7881 9131",Tentara Nasional Indonesia (TNI),kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
67,Shakila,Suwarno,"1609114303171655",manullang.kajen@gmail.co.id,Kupang,1995-04-08,"Psr. Yap Tjwan Bing No. 849, Jayapura 25510, Bengkulu",Manado,(+62) 524 4101 6006,Programmer,biru dongker,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
68,Panji,Putra,"1276553112196847",owinarno@yahoo.co.id,Gunungsitoli,2004-11-21,"Ki. Abdul Rahmat No. 2, Cilegon 11618, Sulsel",Surabaya,"0803 326 297",Tukang Gigi,zaitun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
69,Cakrawala,Haryanti,"7110986409115416",eman22@yahoo.com,Blitar,1998-05-31,"Ds. Moch. Ramdan No. 163, Bukittinggi 24657, Jambi",Bogor,(+62) 29 7407 690,Pramugari,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
70,Farhunnisa,Sihombing,"3671285110950453",uda11@gmail.com,Pagar Alam,1970-09-21,"Ki. Taman No. 226, Tasikmalaya 25376, Sumsel",Tanjungbalai,"0382 8501 782",Tukang Las / Pandai Besi,merah marun,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
71,Paulin,Wijayanti,"1809123008159886",humaira78@gmail.com,Depok,1978-01-29,"Jr. Jamika No. 67, Bontang 95758, Papua",Palopo,(+62) 413 5163 383,Ustaz / Mubaligh,biru laut,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
72,Paris,Hasanah,"1101231405107452",novitasari.pia@gmail.com,Tomohon,2014-03-19,"Ds. Ters. Kiaracondong No. 551, Bengkulu 64453, DIY",Tomohon,(+62) 256 0364 203,Penerjemah,biru,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
73,Melinda,Mahendra,"8205936809969231",cakrabuana.yulianti@yahoo.co.id,Ambon,1986-11-23,"Gg. Thamrin No. 395, Sukabumi 12604, Sumbar",Blitar,"028 9133 2618",Sopir,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
74,Eka,Laksmiwati,"1116771203172328",syuniar@gmail.co.id,Probolinggo,1990-01-16,"Kpg. Jakarta No. 386, Surabaya 25484, Jambi",Sukabumi,(+62) 945 7051 682,Karyawan Honorer,biru,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
75,Simon,Mandasari,"1802936609979716",novitasari.febi@gmail.co.id,Metro,2008-02-10,"Jr. Bagis Utama No. 565, Ambon 64145, Bengkulu",Pontianak,"0713 8036 699",Ustaz / Mubaligh,magenta,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
76,Harimurti,Gunawan,"3272950402007592",galuh.pertiwi@yahoo.com,Tasikmalaya,2010-10-18,"Jr. Haji No. 452, Metro 18406, Jateng",Batam,"0820 9503 312",Akuntan,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
77,Asman,Jailani,"1502535910172469",jlailasari@yahoo.com,Cirebon,1983-12-09,"Kpg. Qrisdoren No. 476, Tasikmalaya 99487, Jateng",Payakumbuh,"020 3616 8382",Wakil Presiden,hitam,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
78,Imam,Wulandari,"3506411009081458",hasanah.rama@yahoo.com,Banjar,2021-12-01,"Gg. Sudirman No. 889, Serang 92356, Jambi",Surabaya,"0756 0804 5352",Sopir,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
79,Cemeti,Agustina,"1501114304995803",hidayat.suci@yahoo.co.id,Jayapura,2021-07-12,"Psr. Yosodipuro No. 258, Singkawang 35373, Aceh",Sungai Penuh,(+62) 484 0223 9495,Pilot,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
80,Prasetyo,Maryati,"1502141311046551",koko.hakim@yahoo.com,Sabang,2011-11-19,"Ds. Raya Ujungberung No. 402, Tegal 37759, NTT",Banda Aceh,"0418 7763 2018",Atlet,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
81,Siska,Waluyo,"7601682708105539",yessi92@yahoo.com,Lubuklinggau,2001-08-27,"Dk. Bayan No. 537, Makassar 40261, DIY",Administrasi Jakarta Timur,"0271 3184 971",Notaris,ungu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
82,Kartika,Suwarno,"1672490709228206",janet97@yahoo.com,Mataram,2009-08-21,"Gg. Bakhita No. 9, Cilegon 33640, Sulteng",Tanjung Pinang,(+62) 477 0500 470,Tukang Kayu,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
83,Tania,Yolanda,"7205451711001971",qwinarsih@gmail.co.id,Pematangsiantar,2016-03-11,"Gg. Baranang No. 643, Cirebon 85494, Bengkulu",Banjarmasin,"0873 3009 8852",Pendeta,krem,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
84,Drajat,Sitompul,"3273374710233596",tira.hutagalung@gmail.co.id,Blitar,2016-03-19,"Ds. Bacang No. 305, Tanjung Pinang 12337, Sumut",Singkawang,"025 6571 7056",Kepolisian RI (POLRI),jingga,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
85,Rahmi,Mayasari,"6103990211943267",anggraini.darijan@yahoo.com,Pasuruan,1978-12-18,"Psr. Jakarta No. 794, Administrasi Jakarta Barat 90567, Aceh",Makassar,(+62) 637 1668 8222,Tukang Cukur,jingga,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
86,Ikin,Puspita,"9110435208186258",megantara.karsana@yahoo.co.id,Ternate,2021-07-03,"Psr. Abdul No. 735, Kupang 53136, Sumsel",Langsa,"0411 8512 451",Penata Rias,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
87,Bagya,Lailasari,"5302906207990733",widodo.gaduh@yahoo.co.id,Cirebon,2007-11-27,"Dk. Cokroaminoto No. 793, Kupang 74806, Sumsel",Gorontalo,(+62) 695 8711 141,Mekanik,perak,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
88,Ika,Melani,"8105760308984606",kiandra.puspita@gmail.com,Banda Aceh,1982-04-06,"Ds. Kiaracondong No. 599, Administrasi Jakarta Pusat 78410, Gorontalo",Palu,"0336 3540 494",Pramugari,cokelat,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
89,Mitra,Prastuti,"5171861312955373",zelaya42@gmail.com,Pariaman,2022-07-03,"Jr. Abdul. Muis No. 424, Padangpanjang 14026, Jabar",Administrasi Jakarta Utara,"0413 3993 433",Buruh Peternakan,emas,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
90,Ratih,Sihotang,"5101280712989418",tira.uyainah@gmail.co.id,Pariaman,1995-09-19,"Jr. Dipatiukur No. 34, Administrasi Jakarta Timur 53653, Kalsel",Kediri,(+62) 306 4514 048,Mengurus Rumah Tangga,violet,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
91,Elma,Suryatmi,"1220426808011187",hidayanto.martana@yahoo.co.id,Sibolga,2022-08-07,"Kpg. Yos Sudarso No. 480, Jayapura 70548, Jatim",Parepare,(+62) 979 5443 747,Buruh Peternakan,putih,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
92,Mujur,Tampubolon,"6110985606104320",vwijayanti@yahoo.co.id,Banda Aceh,2003-06-17,"Kpg. Jambu No. 903, Administrasi Jakarta Selatan 67601, Kaltim",Pangkal Pinang,"0742 2274 055",Belum / Tidak Bekerja,magenta,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
93,Jaswadi,Najmudin,"5316265611236403",situmorang.eja@yahoo.co.id,Padang,2017-11-22,"Kpg. Baik No. 50, Bandung 74640, Sultra",Sungai Penuh,"0436 1156 2563",Penata Rias,sepia,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
94,Aurora,Wacana,"1203682812115639",bhastuti@gmail.com,Sorong,2006-08-22,"Jr. Bakau Griya Utama No. 779, Pagar Alam 61080, Sulsel",Pasuruan,"0893 6531 520",Tukang Batu,nila,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
95,Yusuf,Narpati,"9128452909127050",andriani.putri@yahoo.com,Palangka Raya,2013-06-20,"Gg. Banceng Pondok No. 365, Lhokseumawe 11943, Bali",Palopo,"024 8844 389",Tukang Cukur,kuning,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
96,Kalim,Irawan,"7304045411060973",zmanullang@yahoo.co.id,Padang,1983-08-09,"Jr. Dipatiukur No. 154, Bau-Bau 35807, Lampung",Serang,"026 5300 231",Penerjemah,jingga,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
97,Cagak,Sudiati,"1401666401175100",tarihoran.wulan@yahoo.co.id,Palu,2011-10-01,"Ki. B.Agam Dlm No. 14, Bandar Lampung 54088, Kalsel",Pekalongan,(+62) 317 9553 0669,Programmer,cokelat,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
98,Janet,Wahyuni,"7103775005966331",qsitumorang@gmail.com,Palopo,1979-06-17,"Psr. Gambang No. 140, Makassar 71037, Jabar",Serang,(+62) 556 5185 293,Wakil Presiden,abu-abu,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
99,Praba,Handayani,"1275406702236429",vmandasari@gmail.co.id,Cirebon,2022-04-07,"Ds. Gardujati No. 671, Sukabumi 24363, Lampung",Lhokseumawe,(+62) 964 3509 734,Seniman,biru laut,2024-02-14 22:39:44.000,2024-02-14 22:39:44.000
